food_name,protein_g,carbs_g,fat_g,calories
French Bread Pizza Sausage & Pepperoni,17,43,24,460
Pizza with Meat and Vegetables,10.16,27.42,11.68,256
Meatless Calzone with Cheese,18.75,27.59,21.95,385
Supreme Calzone,10,33,12,280
"Curry Sauce (Dry, Dehydrated)",9.38,50.62,23.1,427
Burrito with Beef (No Beans),18.92,23.73,14.04,303
French Fries,6,53,21,420
Chicken Curry,11.47,4.74,6.67,124
Hamburger on Bun,15.71,28.83,11.8,290
"Enchilada with Beef, Beans and Cheese",7.92,17.97,8.91,179
Pizza with Meat,12.09,31.45,13.8,301
Meatless Soyburger with Cheese on Bun,13.7,24.57,6.93,215
"Fajita Style Chicken Sandwich with Cheese, Lettuce and Tomato on Pita Bread",10.5,13.59,5.9,150
Hash Brown (from Fresh),2.98,34.9,12.44,263
"Pepperoni Pizza (Frozen, Cooked)",11.21,28.51,15.2,296
Quesadilla with Poultry and Cheese,17.15,20.14,17.14,306
"Breaded Chicken Patty, Fillet or Tenders",15.59,16.32,18.82,297
Hash Browns,1,24,8,180
Baked or Fried Batter Dipped Onion Rings (from Frozen),7.08,31.39,19.73,331
Soy Burger,17.91,13.4,5.97,179
Onion Rings,9,66,30,560
Spinach Ricotta Calzone,23,45,20,450
Thin Crust Cheese Pizza,12.5,29.45,12.53,281
Hamburger with Tomato and/or Catsup on Bun,13.4,30.75,9.61,265
Nachos with Chicken or Turkey and Cheese,23.21,12.07,15.94,286
Meatless Vegetable Burger or Patty,17.91,13.4,5.97,179
Beef Curry,11.69,5.8,12.96,184
"Tostada with Beans, Beef and Cheese",7.15,13.18,7.53,148
"Nachos with Beef, Beans and Cheese",14.3,18.57,16.18,275
"Taco or Tostada with Beef, Cheese and Lettuce",13.95,20.77,16.22,283
"Taco or Tostada with Beef, Lettuce, Tomato and Salsa",10.29,14.43,10.22,189
Frozen Chicken Nuggets,10,12,10,180
Veggie Burgers,15.7,14.27,6.3,177
Plain Cheeseburger on Bun,16.12,26.04,13.61,296
Chicken Nuggets,15.59,16.32,18.82,297
Beef Frankfurter or Hot Dog,11.96,4.32,30.39,341
"14"" Pepperoni Pizza (Thick Crust)",12.43,30.4,12.49,284
Cheeseburger,14.48,31.13,14.85,313
Burrito with Beef and Beans,11.85,24.42,9.23,230
Chicken Fajitas (Diet Frozen Meal),8.86,15.85,2.6,122
"Bacon Cheeseburger with 1/4 Lb Meat, Mayonnaise or Salad Dressing and Tomatoes on Bun",15.27,14.44,15.7,262
Meatless Enchilada with Cheese,9.74,16.04,13.64,221
"Taco or Tostada with Beans, Cheese, Meat, Lettuce, Tomato and Salsa",8.12,12.54,7.85,151
Cheese Pizza,12.33,30.33,11.74,276
Hamburger with 1/4 Lb Meat on Bun,18.25,20.33,14.86,294
Hamburger (Single Patty),13.69,33.9,13.13,305
Fat Free Frankfurter or Hot Dog,12.5,11.21,1.59,109
Burrito with Beef and Cheese,17.73,26.76,16.6,332
Artichoke & Cheese Calzone,17,40,16,380
Baked or Fried Batter Dipped Onion Rings,6.76,31.98,19.39,329
Potato French Fries,3.48,35.66,14.06,274
Quesadilla with Meat and Cheese,17.25,20.14,19.12,324
"Taco or Tostada with Beef, Cheese, Lettuce, Tomato and Salsa",9.67,10.96,10.25,173
Cheeseburger with Bacon and Condiments,16.41,19.04,18.85,312
Enchilada with Chicken and Cheese in Tomato- Based Sauce,10.76,15.34,9.51,186
Simple Pepperoni Hand-tossed Pizza,11,26,7,210
Hamburger (Single Patty with Condiments),11.62,32.31,9.22,257
Breaded or Battered Potato French Fries,5.83,31.14,19.6,322
Natural Chicken Nuggets,11,17,6,170
Lamb Curry,11.96,1.57,5.86,109
"Nachos with Beef, Beans, Cheese and Sour Cream",10.9,25.03,16.81,290
Meatless Soyburger,17.91,13.4,5.97,179
Fajita with Chicken and Vegetables,8.82,18.62,5.43,158
Meatless Quesadilla with Cheese,14.1,26.2,20.27,345
Baked or Fried Batter Dipped Onion Rings (from Fresh),6.76,31.98,19.39,329
Hash Brown (from Dry Mix),3.14,27.93,11.43,217
Nachos with Beef and Cheese,22.22,13.42,23.15,352
Lowfat Beef Frankfurter or Hot Dog,12.77,1.7,19.68,238
"French Fried Potatoes (Cottage Cut, Par Fried, Frozen)",2.42,23.98,5.78,153
Lowfat Chicken Nuggets,19.29,13.79,6.33,195
Hashed Brown Potatoes,2.7,22.43,12.8,210
Onion Rings (Breaded and Fried),4.46,37.74,18.69,332
Pizza,12.33,31.46,11.23,276
Corn Flakes,6.7,86.7,0.1,360
Toasted 100% Whole Wheat Bread,10.9,51.7,4.8,277
Hard Bread Sticks,12,68.4,9.5,412
"Meat, Poultry or Fish, Vegetables Sandwich Wrap",12.35,23.29,9.18,228
Low Sodium Hard Bread Stick,10.64,71.63,10.63,431
French Rolls,8.6,50.2,4.3,277
Whole Wheat and Rolled Oats with Nuts and Fruit Cereal (Presweetened),8,73.2,8.4,377
Cereal,7.24,83.02,3.38,376
Cheese Croissants,9.2,47,20.9,414
Whole Wheat Roti,5,19,3.5,130
Sprouted Wheat Bread,9.1,47.2,4.1,260
Potato Bread,7.64,50.61,3.29,266
Wrap Sandwich Filled with Vegetables,4.54,22.74,6.6,168
Garlic Naan Bread,4,28,3,160
Plain or Buttermilk Biscuit Dough (Lower Fat),6.7,47.6,4.5,257
Garlic Bread - Mozzarella,5,19,9,180
Whole Wheat Hard Bread Stick,13.42,68.38,10.54,410
Whole Wheat Bread with Nuts,8.43,42.95,15.76,332
Whole Wheat Tortilla,9.61,55.82,1.3,263
Whole Wheat Pita Bread,10.47,55.8,1.43,273
Granola,9.22,72.39,11.03,408
Wheat Bread (Reduced Calorie),9.1,43.6,2.3,198
Cheese Biscuit,9.25,41.82,18.86,374
Whole Wheat English Muffin,8.7,44.8,2,223
Sprouted Corn Tortillas,2,26,1.5,120
French or Vienna Bread (Includes Sourdough),8.8,51.9,3,274
"Plain or Buttermilk Biscuits (Dry Mix, Prepared)",7.3,48.4,12.1,335
Whole Wheat Hamburger Buns,5,18,1.5,100
Garlic Tandoori Naan,6,39,1.5,210
French Toast,7.7,25,10.8,229
Dumpling,3.3,20.22,3.21,124
Vegetable Samosas,5,22,6,170
Fish  Fillet,11.04,21.18,13.25,249
Pastry filled with Potatoes and Peas (Fried),4.67,32.21,17.86,308
Mousse (Flavors Other Than Chocolate),1.46,16.91,15.6,207
Chocolate and Vanilla Sandwich Cookie,4.92,71.87,19.54,474
Bread Stuffing (Dry Mix),11,76.2,3.4,386
White Wheat Flour (All Purpose),10.33,76.31,0.98,364
Cheese Spread,16.41,8.73,21.23,290
Protein Powder,31,49,9,401
Tempura Roll,25,82,11,531
French Toast with Butter,7.66,26.7,13.9,264
chicken  Spring Roll,5.94,10.88,5.36,116
Chocolate Sponge Cake,8.25,54.68,6.05,297
Beef Chow Mein,9.96,14.04,10.82,191
White Whole Grain Cornmeal,8.12,76.89,3.59,362
Pineapple juice,0,28,0,120
Plain Soy Yogurt,10,25,6,190
Chicken Salad Spread,11.64,7.41,13.52,200
Egg Roll with Chicken or Turkey,6.19,14.54,8.59,161
Peanuts,25.8,16.13,49.24,567
Dry Roasted Pistachio Nuts (Without Salt Added),21.35,27.65,45.97,571
Dry Roasted Cashew Nuts,15.31,32.69,46.35,574
Dry Roasted Almonds (Without Salt Added),22.09,19.29,52.83,597
Dried Sunflower Seed Kernels,22.78,18.76,49.57,570
Pecan Nuts,9.17,13.86,71.97,691
Dry Roasted Pecan Nuts (Without Salt Added),9.5,13.55,74.27,710
Sunflower Seeds,22.78,18.76,49.57,570
Walnuts,15.23,13.71,65.21,654
Dry Roasted Pistachio Nuts (with Salt Added),21.35,26.78,45.97,568
Roasted Salted Cashew Nuts,16.84,30.16,47.77,581
Mixed Nuts,16.51,21.58,56.3,617
Oil Roasted Cashew Nuts,16.84,30.16,47.77,581
Roasted Mixed Nuts,15.52,22.27,56.17,615
Flaxseed Seeds,18.29,28.88,42.16,534
Roasted Soybeans,35.22,33.55,25.4,471
Honey Roasted Almonds,18.74,25.38,48.61,571
Roasted Soy Nuts,9,7,5,100
Unblanched Dried Brazilnuts,14.32,12.27,66.43,656
Mixed Nuts in Shell,14.8,14.04,64.67,650
Pine Nuts,7,4,15,150
Honey Roasted Cashew Nuts,14.52,37.48,41.08,542
Pistachio Nuts,20.61,27.97,44.44,557
Pine Nuts,13.69,13.08,68.37,673
Roasted Macadamia Nuts,7.79,12.83,76.08,716
Roasted & Salted Soy Nuts,10,11,5,130
Brazil Nuts,4,3,19,190
Blanched Almonds,21.94,19.94,50.62,581
Dried Whole Sesame Seeds,17.73,23.45,49.67,573
Dry Roasted Mixed Nuts,17.3,25.35,51.45,594
Roasted & Salted Pistachios,6,8,14,170
Brazil Nuts,4,3,21,220
Honey Roasted Walnuts,12.64,23.58,55.79,602
Roasted Unsalted Cashew Nuts,16.84,29.87,47.77,580
Dried Black Walnuts,24.06,9.91,59,618
"Roasted Soybeans (Mature Seeds, No Salt Added)",35.22,33.55,25.4,471
Dry Roasted Almonds (with Salt Added),22.09,19.29,52.83,597
Boiled Peanuts,13.5,21.26,22.01,318
Almonds,21.26,19.74,50.64,578
Macadamia Nuts,7.91,13.82,75.77,718
Walnut Halves & Pieces,4,4,18,180
Roasted Mixed Nuts with Peanuts,16.76,21.41,56.33,617
Dried Pine Nuts,13.69,13.08,68.37,673
Dried Pumpkin and Squash Seed Kernels,24.54,17.81,45.85,541
Honey Roasted Peanuts,24.47,23.87,45.77,561
Lamb Roast,23.93,0,18.15,266
Fried Chicken Drumstick No Coating,27.76,0,13.85,243
Corned Beef Spread,27.1,0,14.93,250
Chicken Drumstick (Skin Not Eaten),28.05,0,5.61,171
Fried Chicken Breast No Coating (Skin Eaten),31.67,0,9.1,216
Roasted Broiled or Baked Chicken Wing (Skin Eaten),26.64,0,19.3,288
Lamb Chop,22.03,0,24.37,314
Beef Steak,27.29,0,15.01,252
Roast Beef,26.91,0,13.24,234
Organic Ground Chicken,21,1,12,200
Grilled Chicken Breast Fillets,13,0,9,130
Chicken Thigh Meat (Broilers or Fryers),19.65,0,3.91,119
Grilled Chicken Strips Fajita,19,5,2.5,120
Fried Chicken No Coating (Skin Eaten),28.62,0,15.35,260
Organic Grilled Chicken Breast Strips,18,3,1,100
Chicken Sausage,17.82,1.52,9.98,172
Salami,13.92,2.25,20.11,250
Ground Lamb,16.56,0,23.41,282
Ground Chicken,27.07,0,13.49,237
Beef Sausage,11.04,3.99,29.08,325
Roast Beef,25.91,0,17.32,267
Beef Salami,12.6,1.9,22.2,258
Deli Turkey or Chicken Breast Meat,17.07,4.21,1.66,104
Veal Loin,18.89,0,9.14,163
White Turkey,13.5,7.7,3,112
Lamb Shoulder Chop,22.32,0,19.8,274
Chicken Wing,30.21,0,8.06,201
Chicken Thigh,24.85,0,15.36,245
Duck Meat,18.28,0,5.95,132
Roasted Broiled or Baked Chicken Drumstick,26.8,0,11.06,214
Beef Steak,29.81,0,6.63,187
Beef Meatballs,12.41,7.58,13.16,202
Fried Chicken Drumstick No Coating (Skin Eaten),27.76,0,13.85,243
Grilled Chicken,28.69,0,7.35,188
Roasted Broiled or Baked Chicken Thigh,24.85,0,15.36,245
Ground Chicken,22,0,9,160
Fried Chicken Leg No Coating (Skin Eaten),27.31,0,14.78,250
Chicken Drumstick,26.8,0,11.06,214
Skinless Chicken Breast,23.09,0,1.24,110
Chicken Meatballs,19.39,6.94,5.62,161
Chicken,27.07,0,13.49,237
Ground Turkey (Cooked),27.36,0,13.15,235
Chicken Wing,26.64,0,19.3,288
Fried mutton Chop,26.41,0,18.5,279
Lamb,24.32,0,20.77,292
Turkey,28.9,0,7.02,187
Roti,8.8,2.5,56.4,283
Curry (Kidney Bean),6.4,8.4,14.8,162
Mutton Curry,11.2,12.3,4.8,173
Kofte-curry,10.6,11.8,4.6,169
Chicken Pulao,7.2,7.9,18,168
Chapali Kabab,15.6,18.2,3.3,231
Shami Kabab,17.5,12.8,9.5,224
Chicken Curry,12.8,14.7,3.2,188
Chicken Sajji,25,12.8,1,220
Fried Fish,17,9,5.2,172
Murgh Mussallam,12.2,15,7,211
Halwa,4.2,16.8,36.4,310
Kheer,3.4,5,20.4,138
chicken biryani (250 g),20.8,20,29,404
beef biryani,7.1,6.6,13,147
mutton biryani,5.84,4.43,19.62,141
cooked lentils,8.39,6.67,18.73,165
Nihari,14.54,9.81,4.76,167
Haleem,9.77,6.68,15.2,157
russian salad,0.96,10.45,6.68,122
vegetable salad,1.25,0.07,3.22,16
chicken breast,29.55,7.72,0,195
chicken wing,26.64,19.3,0,288
chicken drumstick,26.8,11.06,0,214
chicken fried rice,6.29,6.04,21.12,166
oats,16.89,6.9,66.27,389
egg omelette,10.62,12.02,0.69,153
Boiled egg,12.53,10.57,1.12,154
mix nuts,16.51,56.3,21.58,617
cereal,7.24,3.38,83.02,376
chicken corn soup,7,2,20,130
Green tea,0,0,0.47,2
coffee,0.21,0.04,0.07,2
Paratha,2,8,37,230
Lassi,4,8,32,207
youget,5.25,1.55,7.04,63
Sandwish,9.75,14.57,32.88,304
brown bread,9.7,4.2,46.1,246
milkshake,3.19,4.89,20.11,135
Butter Chicken,13.87,14.52,4.32,202
Chai,0.53,0.53,6.12,30
Chickpea Salad,7,3,32,91
Fruit chaat,0.67,0.86,13.16,57
Mashed patato,1.8,3.54,15.72,100
plain pan cakes,6.4,9.7,28.3,227
palak paneer,6,12,9,150
Detox Water,0.07,0.04,10.43,40
egg fried rice,12,7,30,200
cooked mixed vegetable,2.78,2.13,12.71,81
chicken paities,9.4,8,9,147
Chicken Shawarma,35.83,76.55,6.31,517
French Fries,1.98,20.33,8.01,156
