food_name,protein_g,carbs_g,fat_g,calories
Chocolate Milk (Lowfat),3.24,10.44,1,63
Coffee,3.1,85.94,5.56,406
Skim Chocolate Milk,3.42,10.89,0.28,56
"Fruit Punch (made with Soda, Fruit Juice and Sherbet or Ice Cream)",0.16,4.76,0.15,21
Chocolate Ice Cream Soda,1,15.23,2.9,87
Margarita,0.06,13.86,0.11,218
Root Beer Float,7,75,15,470
Grapefruit Juice,0.52,8.96,0.1,38
Low Calorie Lemonade,0.02,0.52,0,2
Chocolate Shake,3.4,20.5,3.7,127
"Lemonade-Flavor Drink (Powder, with Water)",0,10.8,0,42
Chocolate Milk (Whole),3.17,10.34,3.39,83
Vegetable Juice Cocktail (Canned),0.63,4.55,0.09,19
Limeade,0,18.11,0,72
Espresso Coffee,0.12,0,0.18,2
Cocoa and Sugar Mixture (with Lowfat Milk),3.44,12.04,1.1,71
Orange Juice Drink,0.2,13.41,0,54
Water (Bottled),0,0,0,0
Iced Coffee with Sugar,0.11,4.02,0.01,16
Fruit Smoothie Drink,1.06,18.16,0.87,80
Iced Tea,0.01,9.89,0,38
Hot Cocoa Milk,3.52,10.63,2.33,77
Egg Yolk,15.86,3.59,26.54,322
Scrambled Egg,13.84,2.08,16.18,212
Fried Egg,13.63,0.88,15.31,201
Egg White,10.9,0.73,0.17,52
Egg Omelet,10.62,0.69,12.02,153
Fried Egg without Fat,14.18,0.87,11.21,166
Cage Free Fresh Hard Cooked Peeled Eggs,6,0,4,60
Cabbage Salad or Coleslaw with Dressing,1.28,7.65,12.85,146
Caesar Salad with Romaine,5.03,6.52,14.17,170
"Lettuce Salad with Egg, Tomato, and/or Carrots",3.73,3.63,2.73,53
Pasta or Macaroni Salad with Meat,6.66,17.94,8.15,172
Chicken or Turkey Salad,16.2,1.4,17.31,229
Chicken or Turkey Salad with Egg,15.16,1.56,15.71,211
Potato Salad,2.68,11.17,8.2,143
"Lettuce Salad with Avocado, Tomato, and/or Carrots",1.13,5.3,3.46,52
Cabbage Salad or Coleslaw with Apples and/or Raisins with Dressing,1.45,15.21,14.81,191
Greek Salad,6.66,3.22,6.93,101
Light Caesar Salad Kit,2,8,6,90
Egg White Salad with Chives,7,2,3,60
Taco Salad,6.68,11.91,7.46,141
"Taco or Tostada Salad with Beef, Beans and Cheese in Fried Flour Tortilla",9.53,14.7,13.12,212
Caesar Salad without Croutons,3,4,10,120
Reduced Fat Greek Salad,7,9,3,140
Tuna Salad with Egg,13.71,6.26,12.93,196
Tuna Salad with Cheese,14.44,6.87,14.72,217
"Chicken or Turkey Garden Salad (Chicken and/or Turkey, Other Vegetables Excluding Tomato and Carrots)",12.31,1.93,1.45,72
Egg Salad,9.2,1.93,30.26,318
Chicken Caesar Salad,8,5,11,150
German Style Potato Salad,2.52,16.66,1.24,88
Lettuce Salad with Assorted Vegetables (Including Tomatoes and/or Carrots),0.87,3.8,0.17,17
Potato Salad Side Dish,1.53,13.53,6.03,114
Mixed Salad Greens,1.52,3.2,0.24,17
Greek Salad (Small),3,9,32,340
Macaroni or Pasta Salad with Chicken,10.11,15,13.34,221
Taco Salad with Chili Con Carne,6.67,10.18,5.03,111
Eggless Egg Salad,7,4,8,110
Cabbage Salad or Coleslaw with Pineapple with Dressing,1.01,10.37,11.76,146
Broccoli Coleslaw,2,5,0,25
Macaroni,7.07,19.49,9.14,189
Pasta Salad,3.76,22.98,10.63,202
"Oriental Chicken or Turkey Garden Salad (Chicken and/or Turkey, Lettuce, Fruit, Nuts)",10.83,5.66,5.29,113
Old Fashioned Potato Salad,2,23,8,170
Lettuce Salad with Assorted Vegetables,0.74,3.14,0.15,15
Spaghetti,5.76,30.68,0.92,157
"Brown Rice (Long-Grain, Cooked)",2.58,22.96,0.9,111
Tri-Colored Couscous,7,43,0,210
Cheese Filled Ravioli,8.49,20.22,6.7,178
Organic Whole Wheat Couscous,6,35,1,160
Wild Rice (Cooked),3.99,21.34,0.34,101
Pasta with Meat Sauce,7.93,13.07,5.12,129
Meatless Cheese Filled Tortellini with Tomato Sauce,5.52,15.29,5.5,133
Mushroom Risotto,9,82,8,430
"Egg Noodles (Enriched, Cooked)",4.54,25.16,2.07,138
Ravioli with Tomato Sauce,7.25,14.67,5.97,142
Noodles,4.51,25.01,2.06,137
Lasagna with Chicken or Turkey,10.14,17.2,5.55,160
Meat Filled Tortellini with Tomato Sauce,6.72,16.05,5.07,137
Whole Wheat Spaghetti,5.3,26.38,0.54,123
Dry Couscous,12.76,77.43,0.64,376
Valenciana Style Paella with Meat (Paella Valenciana),19.4,15.49,15.9,287
Cheese Filled Tortellini with Cream Sauce,6.46,15.56,7.42,156
Macaroni or Noodles with Cheese (Dry Mix),6.25,25.74,10.06,219
New Orleans Style Reduced Sodium Jambalaya,4,34,0.5,160
Meatless Spaghetti with Tomato Sauce,3.98,21.62,1.61,118
"White Rice (Long-Grain, Cooked)",2.69,28.17,0.28,130
Puerto Rican Style Seafood Paella (Paella A La Marinera),15.84,9.35,4.45,144
New Orleans Style Jambalaya Rice,3,29,5,180
White Rice,2.66,27.9,0.28,129
Spaghetti with Tomato Sauce and Vegetables,3.56,18.48,1.58,101
Brown and Wild Rice,2.35,20.05,2.61,113
Jambalaya with Meat and Rice,10.7,9.31,8.69,161
Seafood Paella,77,71,36,920
Macaroni or Noodles with Cheese,7.94,21.46,9.4,203
Meatless Pasta with Tomato Sauce,3.05,16.76,0.47,83
Meat Filled Tortellini,12.64,17.36,7.65,193
Chicken Fried Rice,6.29,21.12,6.04,166
White and Wild Rice,2.17,20.64,2.12,112
"Brown Rice (Medium-Grain, Cooked)",2.32,23.51,0.83,112
Macaroni and Cheese (Diet Frozen Meal),6.19,17.01,3.94,130
Macaroni or Noodles with Cheese (Boxed Mix with Cheese Sauce),7.04,25.02,5.34,178
Butternut Squash Risotto,4,31,1,143
Gnocchi Alla Sorrentina,8,39,3,220
Cheese Filled Ravioli with Meat Sauce,7.02,14.02,6.37,142
Whole Grain Brown Rice Mix Multigrain Pilaf,5,42,4.5,230
Macaroni,5.76,30.68,0.92,157
Paella,9.52,16.68,5.44,158
Lasagna with Meat and Spinach,9.43,16.16,5.57,152
Meat Filled Ravioli,12.58,17.36,7.43,191
Instant White Rice,2.16,24.87,0.5,116
Asparagus Risotto,4,24,4.5,150
Macaroni and Cheese Entree (Canned),3.38,11.52,2.46,82
Brown Rice,2.56,22.78,0.89,110
Cheese Gnocchi,9.32,8.58,11.83,179
Rice Pilaf,2.07,21.57,3.24,125
Mediterranean Curry Couscous Mix,7,40,4,220
Meatless Lasagna,7.76,19.18,4.45,147
Spinach Macaroni,4.86,27.24,0.57,135
Rice Noodles (Cooked),0.91,24.9,0.2,109
Fried Rice,6.3,21.06,6.23,168
Spaghetti with Tomato Sauce and Meatballs,7.22,18.62,5.4,153
Corn Grits Polenta,3,27,0.5,140
Shrimp Fried Rice,5.53,21.15,5.86,162
Lasagna with Meat,9.96,17.2,6.01,163
Cheese Filled Tortellini,10.38,36.15,5.56,236
Ravioli (No Sauce),10.79,19.04,7.18,188
Vegetable Macaroni,4.52,26.55,0.11,128
Organic Mushroom & Onion Polenta,2,19,0,90
Whole Wheat Macaroni,5.3,26.38,0.54,123
Potato Gnocchi,2.36,17.04,6.24,133
Italian Classics Mini Gnocchi with Potato,5,60,0,260
Arugula Lettuce,2.58,3.65,0.66,25
Low Sodium Carrots (Canned),0.58,5.31,1.61,36
"Potatoes (Flesh, with Salt, Boiled)",1.87,20.13,0.1,87
Hawaii Mountain Yam,1.34,16.31,0.1,67
Brussels Sprouts,3.38,8.95,0.3,43
Lettuce,0.9,2.97,0.14,14
Brussels Sprouts (Frozen),3.78,7.86,0.41,41
Baked Potato Stuffed with Bacon and Cheese (Peel Eaten),5.57,18.27,6.44,151
Green Peas,5.42,14.46,0.4,81
Mixed Vegetables (Frozen),3.33,13.46,0.52,64
Sweet Cucumber Pickle,0.37,31.81,0.26,117
Mashed Potatoes (Whole Milk and Butter Added),1.87,16.77,4.22,113
Bell Peppers,0.99,6.03,0.3,26
Sweet Baby Supremes Baby Cut Carrots,1,8,0,35
Creamed Parsnips,2.43,13.48,4.88,104
Pickles,0.62,4.12,0.19,18
"Succotash (Corn and Limas) (Cream Style, Canned)",2.64,17.61,0.54,77
Okra (Frozen),1.69,6.63,0.25,30
Snow or Sugar Snap Peas,2.8,7.55,0.2,42
Peeled Baby-cut Carrots,1,7,0,30
Minced Garlic,0,1,0,5
Jalapeno Peppers,1.35,5.91,0.62,30
Cooked Okra (Canned),1.81,4.44,2.4,41
Black Olives,0.88,6.06,9.54,105
"Cooked Lima and Corn Beans (Succotash, Fat Added in Cooking)",4.18,19.38,2.97,109
"Soybeans (Mature Seeds, Steamed, Cooked)",8.47,6.53,4.45,81
"Zucchini (with Salt, Drained, Cooked, Boiled)",0.64,3.93,0.05,16
Cooked Summer Squash,0.89,4.22,2.29,37
"Succotash (Corn and Limas) (Solids and Liquids, Whole Kernel Corn, Canned)",2.6,13.98,0.49,63
"Yellow Sweet Corn (Kernels On Cob, Without Salt, Frozen, Drained, Cooked, Boiled)",3.11,22.33,0.74,93
Cooked Soybeans (Fat Not Added in Cooking),16.54,9.87,8.92,172
Chinese Cherry Tomatoes,1.12,4.8,0.2,22
Succotash,4.29,19.84,0.88,92
Cooked Celery,0.81,3.93,2.54,39
Cooked Asparagus (from Fresh),2.33,4.03,2.21,39
Cherry Tomatoes,1,7,0,30
Savoy Cabbage,2,6.1,0.1,27
Broccoli,2.82,6.64,0.37,34
"Beets (Solids and Liquids, Canned)",0.73,7.14,0.09,30
Mashed Potato (from Dry),2.02,12.22,5.56,105
Cooked Artichoke (from Fresh),3.37,10.87,2.29,67
"Sweet Potato (Without Salt, Baked In Skin, Cooked)",2.01,20.71,0.15,90
Pickled Celery,0.61,2.69,0.15,14
Fried Batter Dipped Eggplant,2.4,11.58,10.75,148
Red Onions,0.92,10.11,0.08,42
Cooked Turnip (from Frozen),1.48,4.25,2.52,43
Low Sodium Green Peas (Canned),3.13,9.6,1.77,65
Jerusalem Artichokes,2,17.44,0.01,76
Corn On The Cob with Butter,3.06,21.88,2.35,106
"Parsnips (Without Salt, Drained, Cooked, Boiled)",1.32,17.01,0.3,71
Chinese Broccoli (Cooked),1.14,3.81,0.72,22
Radishes,0.68,3.4,0.1,16
Cooked Japanese Radish (Daikon) (Fat Not Added in Cooking),0.63,4.34,0.11,19
Carrots,0.93,9.58,0.24,41
Cooked Turnip (from Fresh),0.69,4.94,2.37,42
"Pickled Beets (Solids and Liquids, Canned)",0.8,16.28,0.08,65
"Mixed Vegetables (Drained Solids, Canned)",2.59,9.26,0.25,49
"Leeks (Bulb and Lower Leaf-Portion) (Without Salt, Drained, Cooked, Boiled)",0.81,7.62,0.2,31
Beets,1.61,9.56,0.17,43
